日期,天气,最高温度,最低温度,风力风向
2022年5月8日,阴,25,16,东风 3-4级
2022年5月7日,多云,29,18,东风 4-5级
2022年5月6日,晴,30,18,东风 3-4级
2022年5月5日,晴,28,15,东风 1-2级
2022年5月4日,晴,28,14,东风 3-4级
2022年5月3日,阴,27,14,东风 3-4级
2022年5月2日,多云,24,13,北风 1-2级
2022年5月1日,阴,19,12,北风 3-4级
,,,,
2022年4月30日,阴,17,13,北风 1-2级
2022年4月29日,阴,17,11,北风 1-2级
2022年4月28日,小雨,21,13,东风 3-4级
2022年4月27日,阴,22,14,东风 4-5级
2022年4月26日,小雨,25,16,东北风 3-4级
2022年4月25日,小雨,30,21,西南风 4-5级
2022年4月24日,多云,27,17,东风 3-4级
2022年4月23日,小雨,22,17,东风 1-2级
2022年4月22日,阴,28,19,南风 3-4级
2022年4月21日,晴,28,15,西南风 1-2级
2022年4月20日,多云,26,15,东风 3-4级
2022年4月19日,多云,24,13,北风 1-2级
2022年4月18日,阴,19,12,北风 1-2级
2022年4月17日,阴,18,12,东风 1-2级
2022年4月16日,阴,15,9,东北风 1-2级
2022年4月15日,阴,18,11,北风 3-4级
2022年4月14日,阴,17,13,北风 4-5级
2022年4月13日,大雨,16,12,西北风 4-5级
2022年4月12日,多云,33,19,东风 3-4级
2022年4月11日,晴,31,19,东风 1-2级
2022年4月10日,多云,29,17,西南风 3-4级
2022年4月9日,多云,30,16,南风 3-4级
2022年4月8日,晴,29,13,东南风 3-4级
2022年4月7日,晴,27,13,东风 1-2级
2022年4月6日,阴,24,11,北风 1-2级
2022年4月5日,阴,19,9,北风 1-2级
2022年4月4日,多云,17,10,东风 1-2级
2022年4月3日,晴,17,7,东风 3-4级
2022年4月2日,阴,15,6,北风 1-2级
2022年4月1日,阴,13,4,北风 3-4级
,,,,
2022年3月31日,小雨,14,8,北风 3-4级
2022年3月30日,小雨,23,14,北风 3-4级
2022年3月29日,多云,21,13,东风 1-2级
2022年3月28日,阴,15,7,东风 1-2级
2022年3月27日,阴,16,9,北风 1-2级
2022年3月26日,阴,17,11,西北风 1-2级
2022年3月25日,中雨,21,13,南风 4-5级
2022年3月24日,多云,20,12,东南风 3-4级
2022年3月23日,阴,14,6,北风 1-2级
2022年3月22日,小到中雨,9,6,东北风 4-5级
2022年3月21日,中雨,10,7,东北风 4-5级
2022年3月20日,中雨,9,8,东北风 4-5级
2022年3月19日,小雨,14,8,东风 3-4级
2022年3月18日,阴,15,9,西北风 1-2级
2022年3月17日,中雨,23,8,西北风 5-6级
2022年3月16日,多云,29,16,东风 3-4级
2022年3月15日,多云,24,14,东风 3-4级
2022年3月14日,小雨,28,11,北风 5-6级
2022年3月13日,小雨,25,16,西北风 1-2级
2022年3月12日,晴,28,15,南风 3-4级
2022年3月11日,多云,24,11,东风 1-2级
2022年3月10日,多云,22,11,南风 3-4级
2022年3月9日,晴,22,9,东风 3-4级
2022年3月8日,晴,19,6,东风 3-4级
2022年3月7日,小雨,9,2,北风 1-2级
2022年3月6日,小雨,11,6,东风 3-4级
2022年3月5日,晴,18,6,东风 4-5级
2022年3月4日,阴,19,9,北风 1-2级
2022年3月3日,多云,19,11,东风 3-4级
2022年3月2日,多云,16,7,北风 1-2级
2022年3月1日,阴,18,8,西北风 3-4级
,,,,
2022年2月28日,多云,20,10,北风 4-5级
2022年2月27日,晴,14,6,东风 3-4级
2022年2月26日,晴,17,4,西风 3-4级
2022年2月25日,晴,12,2,东风 3-4级
2022年2月24日,晴,8,0,北风 1-2级
2022年2月23日,小雨,4,-1,北风 1-2级
2022年2月22日,小雨,5,1,北风 3-4级
2022年2月21日,阴,7,2,北风 1-2级
2022年2月20日,阴,4,0,北风 1-2级
2022年2月19日,小雨,6,0,北风 3-4级
2022年2月18日,小雨,5,2,北风 3-4级
2022年2月17日,小雪,4,1,东北风 4-5级
2022年2月16日,阴,8,2,东风 3-4级
2022年2月15日,阴,9,3,东风 3-4级
2022年2月14日,多云,11,2,东北风 1-2级
2022年2月13日,小雨,6,2,北风 3-4级
2022年2月12日,阵雨,7,5,北风 1-2级
2022年2月11日,小雨,6,5,东风 3-4级
2022年2月10日,阴,7,3,北风 3-4级
2022年2月9日,小雨,4,3,北风 1-2级
2022年2月8日,小雨,6,1,东北风 3-4级
2022年2月7日,中雨,4,1,东风 3-4级
2022年2月6日,阴,5,1,东风 3-4级
2022年2月5日,雨夹雪,8,0,北风 3-4级
2022年2月4日,阴,7,0,北风 1-2级
2022年2月3日,小雨,3,1,北风 1-2级
2022年2月2日,小到中雨,3,1,东北风 3-4级
2022年2月1日,小雨,4,2,东北风 3-4级
,,,,
2022年1月31日,阴,7,2,北风 1-2级
2022年1月30日,阴,5,-1,北风 1-2级
2022年1月29日,小雪,2,0,北风 1-2级
2022年1月28日,小雨,3,0,北风 3-4级
2022年1月27日,小到中雨,6,2,北风 3-4级
2022年1月26日,小到中雨,7,5,东北风 3-4级
2022年1月25日,阵雨,7,5,北风 1-2级
2022年1月24日,小雨,7,5,北风 3-4级
2022年1月23日,小到中雨,10,6,北风 3-4级
2022年1月22日,小雨,9,7,北风 1-2级
2022年1月21日,阴,10,5,东风 3-4级
2022年1月20日,阴,11,4,东风 3-4级
2022年1月19日,多云,15,5,北风 3-4级
2022年1月18日,多云,13,3,东风 3-4级
2022年1月17日,阴,10,4,北风 1-2级
2022年1月16日,阴,11,6,东风 3-4级
2022年1月15日,多云,11,2,北风 1-2级
2022年1月14日,多云,7,0,东南风 1-2级
2022年1月13日,多云,6,0,北风 3-4级
2022年1月12日,晴,9,0,北风 1-2级
2022年1月11日,多云,8,0,北风 1-2级
2022年1月10日,小雨,9,4,西北风 3-4级
2022年1月9日,小雨,7,4,北风 1-2级
2022年1月8日,阴,10,2,东北风 3-4级
2022年1月7日,阴,10,3,北风 1-2级
2022年1月6日,阴,9,4,东北风 3-4级
2022年1月5日,小雨,11,6,北风 3-4级
2022年1月4日,多云,13,5,东北风 3-4级
2022年1月3日,晴,14,4,北风 1-2级
2022年1月2日,多云,12,2,东北风 1-2级
2022年1月1日,阴,10,2,北风 1-2级
,,,,
2021年12月31日,晴,10,1,东风 3-4级
2021年12月30日,晴,11,1,东北风 1-2级
2021年12月29日,多云,12,1,西北风 3-4级
2021年12月28日,阴,7,1,北风 1-2级
2021年12月27日,多云,4,-1,北风 1-2级
2021年12月26日,多云,5,-1,北风 3-4级
2021年12月25日,阴,4,-1,北风 3-4级
2021年12月24日,小雨,15,4,北风 4-5级
2021年12月23日,多云,16,8,东风 1-2级
2021年12月22日,晴,16,6,北风 1-2级
2021年12月21日,阴,15,6,北风 1-2级
2021年12月20日,多云,17,6,南风 1-2级
2021年12月19日,晴,14,2,北风 1-2级
2021年12月18日,晴,8,0,北风 1-2级
2021年12月17日,晴,11,0,北风 3-4级
2021年12月16日,小雨,15,8,北风 3-4级
2021年12月15日,小雨,16,9,北风 1-2级
2021年12月14日,多云,12,6,北风 1-2级
2021年12月13日,晴,11,3,北风 1-2级
2021年12月12日,小雨,9,5,北风 3-4级
2021年12月11日,晴,17,9,东风 3-4级
2021年12月10日,多云,17,8,北风 3-4级
2021年12月9日,多云,18,8,北风 1-2级
2021年12月8日,阴,15,7,东风 1-2级
2021年12月7日,多云,16,7,东风 1-2级
2021年12月6日,晴,17,6,北风 1-2级
2021年12月5日,晴,16,4,北风 1-2级
2021年12月4日,晴,15,4,北风 1-2级
2021年12月3日,晴,16,4,北风 1-2级
2021年12月2日,晴,12,2,西南风 3-4级
2021年12月1日,晴,9,1,西北风 1-2级
,,,,
2021年11月30日,多云,13,3,西北风 5-6级
2021年11月29日,小雨,19,12,北风 1-2级
2021年11月28日,小雨,17,13,东风 3-4级
2021年11月27日,多云,17,9,东风 3-4级
2021年11月26日,多云,18,7,北风 1-2级
2021年11月25日,晴,19,6,北风 1-2级
2021年11月24日,晴,16,4,南风 1-2级
2021年11月23日,多云,11,3,北风 1-2级
2021年11月22日,阴,11,2,北风 3-4级
2021年11月21日,小雨,19,8,西北风 5-6级
2021年11月20日,阴,20,10,东风 3-4级
2021年11月19日,多云,20,12,东风 3-4级
2021年11月18日,阴,17,11,北风 1-2级
2021年11月17日,小雨,18,13,东南风 3-4级
2021年11月16日,多云,19,10,北风 1-2级
2021年11月15日,多云,19,9,东南风 1-2级
2021年11月14日,晴,20,8,西南风 1-2级
2021年11月13日,多云,19,8,西南风 1-2级
2021年11月12日,多云,17,7,北风 1-2级
2021年11月11日,晴,18,9,西北风 1-2级
2021年11月10日,晴,17,6,西北风 3-4级
2021年11月9日,晴,14,6,西北风 3-4级
2021年11月8日,晴,10,3,西北风 3-4级
2021年11月7日,小雨,23,5,西北风 5-6级
2021年11月6日,小雨,21,16,东北风 3-4级
2021年11月5日,小雨,21,17,北风 1-2级
2021年11月4日,小雨,20,15,北风 1-2级
2021年11月3日,阴,19,13,北风 1-2级
2021年11月2日,小雨,20,14,东北风 3-4级
2021年11月1日,多云,23,14,东风 3-4级
,,,,
2021年10月31日,阴,21,14,东风 3-4级
2021年10月30日,晴,23,12,北风 1-2级
2021年10月29日,多云,21,13,北风 1-2级
2021年10月28日,晴,21,15,北风 1-2级
2021年10月27日,多云,21,14,北风 1-2级
2021年10月26日,阴,21,13,北风 1-2级
2021年10月25日,阴,21,12,东北风 3-4级
2021年10月24日,多云,21,11,北风 1-2级
2021年10月23日,多云,20,13,东风 1-2级
2021年10月22日,阴,18,11,北风 3-4级
2021年10月21日,阴,16,10,西北风 3-4级
2021年10月20日,中雨,13,10,北风 3-4级
2021年10月19日,阴,18,14,北风 3-4级
2021年10月18日,小雨,16,12,北风 1-2级
2021年10月17日,阴,16,11,北风 3-4级
2021年10月16日,小到中雨,17,11,北风 5-6级
2021年10月15日,小雨,27,19,西北风 5-6级
2021年10月14日,阴,29,20,北风 1-2级
2021年10月13日,小到中雨,25,22,东北风 3-4级
2021年10月12日,阴,23,19,北风 4-5级
2021年10月11日,小雨,21,18,北风 5-6级
2021年10月10日,小雨,31,21,北风 4-5级
2021年10月9日,多云,32,23,东风 3-4级
2021年10月8日,小雨,29,23,东北风 3-4级
2021年10月7日,小雨,30,23,东北风 1-2级
2021年10月6日,小雨,31,24,东风 3-4级
2021年10月5日,晴,32,23,东风 3-4级
2021年10月4日,晴,34,23,南风 3-4级
2021年10月3日,晴,34,21,南风 3-4级
2021年10月2日,多云,33,22,东风 3-4级
2021年10月1日,晴,31,21,东风 1-2级
,,,,
2021年9月30日,多云,29,19,北风 3-4级
2021年9月29日,雷阵雨,34,21,北风 3-4级
2021年9月28日,晴,33,23,东风 1-2级
2021年9月27日,晴,33,22,东风 1-2级
2021年9月26日,多云,32,22,东风 3-4级
2021年9月25日,多云,31,21,东北风 3-4级
2021年9月24日,多云,33,21,东风 3-4级
2021年9月23日,晴,34,20,东风 1-2级
2021年9月22日,晴,33,21,北风 1-2级
2021年9月21日,晴,31,21,北风 1-2级
2021年9月20日,小雨,32,22,西北风 3-4级
2021年9月19日,晴,33,24,东风 1-2级
2021年9月18日,晴,31,21,东风 1-2级
2021年9月17日,晴,28,19,北风 3-4级
2021年9月16日,小雨,28,22,北风 1-2级
2021年9月15日,小雨,27,23,西北风 4-5级
2021年9月14日,小雨,27,23,西北风 5-6级
2021年9月13日,中到大雨,26,23,西北风 6-7级
2021年9月12日,大雨,28,23,东北风 5-6级
2021年9月11日,小到中雨,28,23,东北风 3-4级
2021年9月10日,小雨,32,25,西北风 1-2级
2021年9月9日,小雨,30,24,北风 1-2级
2021年9月8日,小雨,29,24,东风 1-2级
2021年9月7日,阴,28,23,北风 1-2级
2021年9月6日,小到中雨,31,25,北风 3-4级
2021年9月5日,小雨,34,26,北风 1-2级
2021年9月4日,小雨,34,26,东风 1-2级
2021年9月3日,小雨,31,24,东北风 1-2级
2021年9月2日,小雨,34,25,北风 3-4级
2021年9月1日,小雨,35,25,东北风 3-4级
,,,,
2021年8月31日,多云,36,26,东南风 3-4级
2021年8月30日,多云,36,26,东风 1-2级
2021年8月29日,多云,36,26,北风 1-2级
2021年8月28日,多云,34,25,北风 1-2级
2021年8月27日,小雨,34,24,东北风 3-4级
2021年8月26日,多云,33,25,北风 1-2级
2021年8月25日,小雨,31,25,西北风 1-2级
2021年8月24日,小雨,34,26,西南风 3-4级
2021年8月23日,多云,35,26,西南风 3-4级
2021年8月22日,小雨,33,25,东南风 1-2级
2021年8月21日,小雨,32,25,西南风 3-4级
2021年8月20日,雷阵雨,34,25,南风 3-4级
2021年8月19日,多云,32,24,东风 1-2级
